City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,12.12,98,100,2.68,NZ,1724967823
1,morris,40.8334,-74.5329,23.1,79,100,3.6,US,1724967782
2,ribeira grande,38.5167,-28.7,24.32,69,20,2.57,PT,1724967894
3,talnakh,69.4865,88.3972,11.77,87,100,2.05,RU,1724967895
4,alotau,-10.3069,150.4462,25.89,77,66,2.26,PG,1724967896
5,tanjung selor,2.8372,117.3642,22.24,95,100,0.99,ID,1724967897
6,alaghsas,17.0187,8.0168,33.41,37,100,3.46,NE,1724967898
7,constitucion,-35.3333,-72.4167,10.39,81,87,2.02,CL,1724967894
8,college,64.8569,-147.8028,15.25,70,75,3.6,US,1724967814
9,adamstown,-25.066,-130.1015,19.07,69,38,6.0,PN,1724967901
10,rio grande,-32.035,-52.0986,14.5,91,100,2.07,BR,1724967627
11,badger,64.8,-147.5333,15.2,79,75,3.6,US,1724967904
12,alofi,-19.0595,-169.9187,23.94,73,75,6.17,NU,1724967905
13,tiksi,71.6872,128.8694,3.11,80,6,2.45,RU,1724967906
14,port alfred,-33.5906,26.891,10.64,77,2,3.24,ZA,1724967907
15,avarua,-21.2078,-159.775,24.03,78,22,4.12,CK,1724967824
16,puerto natales,-51.7236,-72.4875,7.25,65,0,2.57,CL,1724967909
17,puerto san jose,13.9256,-90.8244,30.45,71,31,3.84,GT,1724967910
18,huaicheng,23.9051,112.1931,24.5,93,95,0.48,CN,1724967911
19,georgetown,5.4112,100.3354,27.96,93,20,1.03,MY,1724967820
20,crane,31.3974,-102.3501,33.15,35,43,6.45,US,1724967913
21,tralee,52.2704,-9.7026,11.11,94,100,0.61,IE,1724967915
22,port-aux-francais,-49.35,70.2167,3.51,77,69,14.63,TF,1724967916
23,grytviken,-54.2811,-36.5092,0.38,93,100,0.5,GS,1724967917
24,afaahiti,-17.75,-149.2833,24.39,86,16,4.98,PF,1724967918
25,asau,46.4333,26.4,15.88,94,74,2.64,RO,1724967919
26,taoudenni,22.6783,-3.9836,36.92,29,15,8.83,ML,1724967920
27,al jawf,29.5,38.75,27.28,26,0,3.33,SA,1724967921
28,thompson,55.7435,-97.8558,16.09,100,100,1.03,CA,1724967922
29,stanley,54.868,-1.6985,13.07,85,20,3.09,GB,1724967923
30,ovalle,-30.5983,-71.2003,13.15,58,0,4.0,CL,1724967924
31,mata-utu,-13.2816,-176.1745,26.78,80,21,8.83,WF,1724967926
32,el porvenir,13.7617,-87.3458,32.6,56,31,1.24,HN,1724967927
33,waingapu,-9.6567,120.2641,23.31,80,54,2.02,ID,1724967928
34,atafu village,-8.5421,-172.5159,27.83,78,25,8.02,TK,1724967929
35,edinburgh of the seven seas,-37.0676,-12.3116,11.7,75,12,13.99,SH,1724967930
36,ushuaia,-54.8,-68.3,5.81,75,0,1.54,AR,1724967782
